Booking_ID,arrival_month
INN00169,6.0
INN00170,9.0
INN00171,7.0
INN00172,6.0
INN00173,12.0
INN00174,1.0
INN00175,11.0
INN00176,3.0
INN00177,8.0
INN00178,6.0
INN00179,11.0
INN00180,5.0
INN00181,9.0
INN00182,6.0
INN00183,1.0
INN00184,6.0
INN00185,3.0
INN00186,7.0
INN00187,2.0
INN00188,12.0
INN00189,6.0
INN00190,1.0
INN00191,12.0
INN00192,10.0
INN00193,7.0
INN00194,9.0
INN00195,12.0
INN00196,8.0
INN00197,12.0
INN00198,7.0
INN00199,7.0
INN00200,11.0
INN00201,1.0
INN00202,10.0
INN00203,7.0
INN00204,2.0
INN00205,1.0
INN00206,11.0
INN00207,8.0
INN00208,9.0
INN00209,12.0
INN00210,3.0
INN00211,9.0
INN00212,8.0
INN00213,9.0
INN00214,2.0
INN00215,12.0
INN00216,12.0
INN00217,12.0
INN00218,6.0
INN00219,9.0
INN00220,12.0
INN00221,6.0
INN00222,6.0
INN00223,10.0
INN00224,9.0
INN00225,6.0
INN00226,6.0
INN00227,10.0
INN00228,9.0
INN00229,4.0
INN00230,3.0
INN00231,6.0
INN00232,7.0
INN00233,11.0
INN00234,10.0
INN00235,8.0
INN00236,8.0
INN00237,8.0
INN00238,1.0
INN00239,1.0
INN00240,5.0
INN00241,9.0
INN00242,10.0
INN00243,9.0
INN00244,9.0
INN00245,3.0
INN00246,3.0
INN00247,6.0
INN00248,6.0
INN00249,9.0
INN00250,11.0
INN00251,1.0
INN00252,11.0
INN00253,1.0
INN00254,7.0
INN00255,11.0
INN00256,1.0
INN00257,9.0
INN00258,1.0
INN00259,12.0
INN00260,11.0
INN00261,6.0
INN00262,1.0
INN00263,10.0
INN00264,6.0
INN00265,1.0
INN00266,10.0
INN00267,8.0
INN00268,8.0
INN00269,10.0
INN00270,8.0
INN00271,3.0
INN00272,9.0
INN00273,9.0
INN00274,2.0
INN00275,7.0
INN00276,10.0
INN00277,2.0
INN00278,4.0
INN00279,8.0
INN00280,5.0
INN00281,8.0
INN00282,6.0
INN00283,12.0
INN00284,5.0
INN00285,12.0
INN00286,8.0
INN00287,8.0
INN00288,7.0
INN00289,9.0
INN00290,6.0
INN00291,6.0
INN00292,8.0
INN00293,12.0
INN00294,8.0
INN00295,7.0
INN00296,4.0
INN00297,10.0
INN00298,2.0
INN00299,1.0
INN00300,11.0
INN00301,11.0
INN00302,12.0
INN00303,3.0
INN00304,5.0
INN00305,5.0
INN00306,3.0
INN00307,5.0
INN00308,4.0
INN00309,12.0
INN00310,9.0
INN00311,8.0
INN00312,10.0
INN00313,1.0
INN00314,12.0
INN00315,3.0
INN00316,5.0
INN00317,9.0
INN00318,2.0
INN00319,1.0
INN00320,7.0
INN00321,3.0
INN00322,7.0
INN00323,2.0
INN00324,8.0
INN00325,10.0
INN00326,12.0
INN00327,11.0
INN00328,12.0
INN00329,10.0
INN00330,8.0
INN00331,8.0
INN00332,4.0
INN00333,11.0
INN00334,12.0
INN00335,11.0
INN00336,7.0
INN00337,11.0
INN00338,1.0
INN00339,1.0
INN00340,10.0
INN00341,9.0
INN00342,3.0
INN00343,10.0
INN00344,12.0
INN00345,10.0
INN00346,11.0
INN00347,8.0
INN00348,9.0
INN00349,2.0
INN00350,11.0
INN00351,6.0
INN00352,7.0
INN00353,7.0
INN00354,7.0
INN00355,7.0
INN00356,11.0
INN00357,3.0
INN00358,10.0
INN00359,8.0
INN00360,10.0
INN00361,11.0
INN00362,11.0
INN00363,11.0
INN00364,11.0
INN00365,1.0
INN00366,4.0
INN00367,9.0
INN00368,9.0
INN00369,9.0
INN00370,11.0
INN00371,1.0
INN00372,10.0
INN00373,1.0
INN00374,11.0
INN00375,1.0
INN00376,11.0
INN00377,2.0
INN00378,3.0
INN00379,4.0
INN00380,6.0
INN00381,5.0
INN00382,1.0
INN00383,1.0
INN00384,9.0
INN00385,9.0
INN00386,1.0
INN00387,3.0
INN00388,5.0
INN00389,5.0
INN00390,9.0
INN00391,2.0
INN00392,6.0
INN00393,11.0
INN00394,5.0
INN00395,6.0
INN00396,8.0
INN00397,12.0
INN00398,1.0
INN00399,2.0
INN00400,4.0
INN00401,3.0
INN00402,5.0
INN00403,3.0
INN00404,4.0
INN00405,5.0
INN00406,10.0
INN00407,7.0
INN00408,4.0
INN00409,10.0
INN00410,1.0
INN00411,8.0
INN00412,12.0
INN00413,6.0
INN00414,8.0
INN00415,2.0
INN00416,6.0
INN00417,2.0
INN00418,4.0
INN00419,11.0
INN00420,10.0
INN00421,3.0
INN00422,5.0
INN00423,6.0
INN00424,3.0
INN00425,7.0
INN00426,8.0
INN00427,5.0
INN00428,8.0
INN00429,4.0
INN00430,4.0
INN00431,11.0
INN00432,6.0
INN00433,9.0
INN00434,10.0
INN00435,3.0
INN00436,4.0
INN00437,5.0
INN00438,12.0
INN00439,12.0
INN00440,1.0
INN00441,1.0
INN00442,12.0
INN00443,4.0
INN00444,7.0
INN00445,11.0
INN00446,4.0
INN00447,6.0
INN00448,11.0
INN00449,4.0
INN00450,2.0
INN00451,11.0
INN00452,12.0
INN00453,1.0
INN00454,8.0
INN00455,6.0
INN00456,4.0
INN00457,1.0
INN00458,6.0
INN00459,12.0
INN00460,9.0
INN00461,11.0
INN00462,11.0
INN00463,8.0
INN00464,1.0
INN00465,5.0
INN00466,3.0
INN00467,8.0
INN00468,1.0
INN00469,6.0
INN00470,12.0
INN00471,8.0
INN00472,2.0
INN00473,1.0
INN00474,1.0
INN00475,11.0
INN00476,7.0
INN00477,10.0
INN00478,7.0
INN00479,1.0
INN00480,4.0
INN00481,12.0
INN00482,10.0
INN00483,12.0
INN00484,4.0
INN00485,12.0
INN00486,9.0
INN00487,4.0
INN00488,3.0
INN00489,3.0
INN00490,6.0
INN00491,9.0
INN00492,11.0
INN00493,8.0
INN00494,12.0
INN00495,1.0
INN00496,3.0
INN00497,1.0
INN00498,4.0
INN00499,5.0
INN00500,6.0
INN00501,6.0
INN00502,3.0
INN00503,10.0
INN00504,1.0
INN00505,11.0
INN00506,10.0
INN00507,5.0
INN00508,5.0
INN00509,2.0
INN00510,12.0
INN00511,1.0
INN00512,2.0
INN00513,12.0
INN00514,4.0
INN00515,5.0
INN00516,8.0
INN00517,7.0
INN00518,10.0
INN00519,10.0
INN00520,1.0
INN00521,3.0
INN00522,6.0
INN00523,8.0
INN00524,8.0
INN00525,4.0
INN00526,8.0
INN00527,8.0
INN00528,12.0
INN00529,7.0
INN00530,3.0
INN00531,9.0
INN00532,3.0
INN00533,12.0
INN00534,12.0
INN00535,6.0
INN00536,6.0
INN00537,7.0
INN00538,8.0
INN00539,4.0
INN00540,4.0
INN00541,11.0
INN00542,4.0
INN00543,11.0
INN00544,10.0
INN00545,6.0
INN00546,7.0
INN00547,2.0
INN00548,2.0
INN00549,1.0
INN00550,1.0
INN00551,11.0
INN00552,1.0
INN00553,6.0
INN00554,5.0
INN00555,12.0
INN00556,3.0
INN00557,3.0
INN00558,11.0
INN00559,10.0
INN00560,11.0
INN00561,4.0
INN00562,12.0
INN00563,2.0
INN00564,4.0
INN00565,12.0
INN00566,1.0
INN00567,11.0
INN00568,2.0
INN00569,11.0
INN00570,12.0
INN00571,6.0
INN00572,9.0
INN00573,4.0
INN00574,5.0
INN00575,8.0
INN00576,8.0
INN00577,12.0
INN00578,11.0
INN00579,12.0
INN00580,5.0
INN00581,10.0
INN00582,11.0
INN00583,12.0
INN00584,3.0
INN00585,9.0
INN00586,11.0
INN00587,11.0
INN00588,11.0
INN00589,3.0
INN00590,8.0
INN00591,9.0
INN00592,5.0
INN00593,1.0
INN00594,10.0
INN00595,4.0
INN00596,9.0
INN00597,2.0
INN00598,7.0
INN00599,10.0
INN00600,9.0
INN00601,3.0
INN00602,7.0
INN00603,3.0
INN00604,6.0
INN00605,10.0
INN00606,12.0
INN00607,9.0
INN00608,9.0
INN00609,2.0
INN00610,12.0
INN00611,1.0
INN00612,9.0
INN00613,11.0
INN00614,2.0
INN00615,11.0
INN00616,10.0
INN00617,9.0
INN00618,9.0
INN00619,6.0
INN00620,9.0
INN00621,5.0
INN00622,7.0
INN00623,8.0
INN00624,6.0
INN00625,12.0
INN00626,11.0
INN00627,12.0
INN00628,3.0
INN00629,7.0
INN00630,7.0
INN00631,1.0
INN00632,9.0
INN00633,2.0
INN00634,12.0
INN00635,5.0
INN00636,1.0
INN00637,4.0
INN00638,12.0
INN00639,1.0
INN00640,12.0
INN00641,6.0
INN00642,10.0
INN00643,10.0
INN00644,12.0
INN00645,2.0
INN00646,12.0
INN00647,10.0
INN00648,11.0
INN00649,2.0
INN00650,1.0
INN00651,11.0
INN00652,6.0
INN00653,6.0
INN00654,11.0
INN00655,10.0
INN00656,7.0
INN00657,6.0
INN00658,9.0
INN00659,12.0
INN00660,2.0
INN00661,3.0
INN00662,10.0
INN00663,2.0
INN00664,7.0
INN00665,9.0
INN00666,11.0
INN00667,11.0
INN00668,10.0
INN00669,11.0
INN00670,9.0
INN00671,3.0
INN00672,8.0
INN00673,4.0
INN00674,2.0
INN00675,3.0
INN00676,10.0
INN00677,2.0
INN00678,7.0
INN00679,8.0
INN00680,11.0
INN00681,6.0
INN00682,11.0
INN00683,2.0
INN00684,11.0
INN00685,11.0
INN00686,5.0
INN00687,6.0
INN00688,11.0
INN00689,12.0
INN00690,4.0
INN00691,11.0
INN00692,12.0
INN00693,3.0
INN00694,5.0
INN00695,8.0
INN00696,3.0
INN00697,2.0
INN00698,4.0
INN00699,4.0
INN00700,11.0
INN00701,2.0
INN00702,10.0
INN00703,5.0
INN00704,2.0
INN00705,10.0
INN00706,10.0
INN00707,7.0
INN00708,12.0
INN00709,12.0
INN00710,11.0
INN00711,5.0
INN00712,5.0
INN00713,12.0
INN00714,11.0
INN00715,1.0
INN00716,8.0
INN00717,3.0
INN00718,8.0
INN00719,11.0
INN00720,5.0
INN00721,12.0
INN00722,2.0
INN00723,2.0
INN00724,11.0
INN00725,7.0
INN00726,2.0
INN00727,6.0
INN00728,1.0
INN00729,12.0
INN00730,3.0
INN00731,4.0
INN00732,10.0
INN00733,3.0
INN00734,11.0
INN00735,7.0
INN00736,5.0
INN00737,11.0
INN00738,8.0
INN00739,1.0
INN00740,7.0
INN00741,3.0
INN00742,3.0
INN00743,4.0
INN00744,9.0
INN00745,8.0
INN00746,9.0
INN00747,2.0
INN00748,3.0
INN00749,5.0
INN00750,5.0
INN00751,5.0
INN00752,2.0
INN00753,10.0
INN00754,5.0
INN00755,1.0
INN00756,12.0
INN00757,7.0
INN00758,4.0
INN00759,4.0
INN00760,4.0
INN00761,10.0
INN00762,6.0
INN00763,10.0
INN00764,5.0
INN00765,5.0
INN00766,9.0
INN00767,6.0
INN00768,9.0
INN00769,1.0
INN00770,3.0
INN00771,3.0
INN00772,12.0
INN00773,1.0
INN00774,6.0
INN00775,8.0
INN00776,10.0
INN00777,12.0
INN00778,9.0
INN00779,7.0
INN00780,2.0
INN00781,5.0
INN00782,2.0
INN00783,3.0
INN00784,3.0
INN00785,11.0
INN00786,3.0
INN00787,12.0
INN00788,10.0
INN00789,8.0
INN00790,10.0
INN00791,8.0
INN00792,5.0
INN00793,10.0
INN00794,10.0
INN00795,5.0
INN00796,12.0
INN00797,7.0
INN00798,8.0
INN00799,3.0
INN00800,12.0
INN00801,1.0
INN00802,11.0
INN00803,7.0
INN00804,10.0
INN00805,2.0
INN00806,2.0
INN00807,12.0
INN00808,7.0
INN00809,8.0
INN00810,1.0
INN00811,7.0
INN00812,10.0
INN00813,7.0
INN00814,8.0
INN00815,9.0
INN00816,4.0
INN00817,2.0
INN00818,7.0
INN00819,8.0
INN00820,11.0
INN00821,6.0
INN00822,1.0
INN00823,5.0
INN00824,2.0
INN00825,12.0
INN00826,12.0
INN00827,8.0
INN00828,8.0
INN00829,10.0
INN00830,1.0
INN00831,4.0
INN00832,1.0
INN00833,4.0
INN00834,10.0
INN00835,9.0
INN00836,11.0
INN00837,10.0
INN00838,12.0
INN00839,6.0
INN00840,1.0
INN00841,3.0
INN00842,10.0
INN00843,11.0
INN00844,3.0
INN00845,1.0
INN00846,12.0
INN00847,11.0
INN00848,5.0
INN00849,8.0
INN00850,3.0
INN00851,6.0
INN00852,10.0
INN00853,3.0
INN00854,6.0
INN00855,8.0
INN00856,1.0
INN00857,11.0
INN00858,4.0
INN00859,1.0
INN00860,12.0
INN00861,1.0
INN00862,6.0
INN00863,5.0
INN00864,12.0
INN00865,10.0
INN00866,12.0
INN00867,3.0
INN00868,4.0
INN00869,4.0
INN00870,3.0
INN00871,7.0
INN00872,8.0
INN00873,11.0
INN00874,10.0
INN00875,11.0
INN00876,8.0
INN00877,6.0
INN00878,4.0
INN00879,10.0
INN00880,1.0
INN00881,3.0
INN00882,5.0
INN00883,3.0
INN00884,2.0
INN00885,11.0
INN00886,3.0
INN00887,8.0
INN00888,7.0
INN00889,6.0
INN00890,1.0
INN00891,6.0
INN00892,10.0
INN00893,9.0
INN00894,3.0
INN00895,10.0
INN00896,9.0
INN00897,1.0
INN00898,10.0
INN00899,3.0
INN00900,11.0
INN00901,2.0
INN00902,10.0
INN00903,1.0
INN00904,11.0
INN00905,12.0
INN00906,3.0
INN00907,1.0
INN00908,1.0
INN00909,9.0
INN00910,3.0
INN00911,6.0
INN00912,6.0
INN00913,11.0
INN00914,11.0
INN00915,11.0
INN00916,1.0
INN00917,9.0
INN00918,6.0
INN00919,12.0
INN00920,2.0
INN00921,10.0
INN00922,3.0
INN00923,7.0
INN00924,6.0
INN00925,2.0
INN00926,9.0
INN00927,10.0
INN00928,1.0
INN00929,8.0
INN00930,10.0
INN00931,5.0
INN00932,11.0
INN00933,3.0
INN00934,6.0
INN00935,9.0
INN00936,10.0
INN00937,5.0
INN00938,2.0
INN00939,1.0
INN00940,2.0
INN00941,12.0
INN00942,3.0
INN00943,8.0
INN00944,11.0
INN00945,10.0
INN00946,3.0
INN00947,8.0
INN00948,12.0
INN00949,9.0
INN00950,6.0
INN00951,5.0
INN00952,1.0
INN00953,6.0
INN00954,1.0
INN00955,1.0
INN00956,8.0
INN00957,12.0
INN00958,6.0
INN00959,7.0
INN00960,8.0
INN00961,2.0
INN00962,11.0
INN00963,9.0
INN00964,11.0
INN00965,1.0
INN00966,3.0
INN00967,8.0
INN00968,11.0
INN00969,7.0
INN00970,1.0
INN00971,10.0
INN00972,2.0
INN00973,3.0
INN00974,6.0
INN00975,4.0
INN00976,4.0
INN00977,9.0
INN00978,3.0
INN00979,10.0
INN00980,3.0
INN00981,10.0
INN00982,3.0
INN00983,8.0
INN00984,9.0
INN00985,9.0
INN00986,10.0
INN00987,6.0
INN00988,1.0
INN00989,8.0
INN00990,2.0
INN00991,3.0
INN00992,4.0
INN00993,9.0
INN00994,1.0
INN00995,12.0
INN00996,2.0
INN00997,10.0
INN00998,3.0
INN00999,11.0
INN01000,2.0
INN01001,6.0
INN01002,1.0
INN01003,10.0
INN01004,7.0
INN01005,4.0
INN01006,1.0
INN01007,4.0
INN01008,2.0
INN01009,8.0
INN01010,3.0
INN01011,6.0
INN01012,4.0
INN01013,6.0
INN01014,7.0
INN01015,4.0
INN01016,2.0
INN01017,9.0
INN01018,2.0
INN01019,11.0
INN01020,5.0
INN01021,8.0
INN01022,1.0
INN01023,10.0
INN01024,10.0
INN01025,12.0
INN01026,9.0
INN01027,5.0
INN01028,3.0
INN01029,11.0
INN01030,4.0
INN01031,10.0
INN01032,2.0
INN01033,1.0
INN01034,9.0
INN01035,1.0
INN01036,12.0
INN01037,3.0
INN01038,7.0
INN01039,6.0
INN01040,1.0
INN01041,11.0
INN01042,5.0
INN01043,4.0
INN01044,4.0
INN01045,7.0
INN01046,9.0
INN01047,12.0
INN01048,9.0
INN01049,3.0
INN01050,3.0
INN01051,7.0
INN01052,1.0
INN01053,11.0
INN01054,2.0
INN01055,12.0
INN01056,12.0
INN01057,10.0
INN01058,7.0
INN01059,3.0
INN01060,7.0
INN01061,3.0
INN01062,6.0
INN01063,10.0
INN01064,8.0
INN01065,1.0
INN01066,9.0
INN01067,10.0
INN01068,4.0
INN01069,5.0
INN01070,10.0
INN01071,10.0
INN01072,2.0
INN01073,11.0
INN01074,8.0
INN01075,10.0
INN01076,6.0
INN01077,5.0
INN01078,8.0
INN01079,5.0
INN01080,1.0
INN01081,4.0
INN01082,10.0
INN01083,1.0
INN01084,5.0
INN01085,1.0
INN01086,11.0
INN01087,4.0
INN01088,7.0
INN01089,10.0
INN01090,1.0
INN01091,1.0
INN01092,9.0
INN01093,8.0
INN01094,10.0
INN01095,6.0
INN01096,4.0
INN01097,2.0
INN01098,6.0
INN01099,3.0
INN01100,1.0
INN01101,10.0
INN01102,9.0
INN01103,2.0
INN01104,10.0
INN01105,1.0
INN01106,9.0
INN01107,4.0
INN01108,10.0
INN01109,12.0
INN01110,8.0
INN01111,6.0
INN01112,3.0
INN01113,7.0
INN01114,3.0
INN01115,12.0
INN01116,2.0
INN01117,11.0
INN01118,9.0
INN01119,12.0
INN01120,4.0
INN01121,9.0
INN01122,10.0
INN01123,7.0
INN01124,10.0
INN01125,4.0
INN01126,12.0
INN01127,12.0
INN01128,1.0
INN01129,9.0
INN01130,1.0
INN01131,12.0
INN01132,3.0
INN01133,3.0
INN01134,4.0
INN01135,2.0
INN01136,6.0
INN01137,1.0
INN01138,8.0
INN01139,1.0
INN01140,3.0
INN01141,12.0
INN01142,7.0
INN01143,6.0
INN01144,10.0
INN01145,3.0
INN01146,4.0
INN01147,12.0
INN01148,8.0
INN01149,10.0
INN01150,8.0
INN01151,9.0
INN01152,1.0
INN01153,8.0
INN01154,8.0
INN01155,11.0
INN01156,10.0
INN01157,4.0
INN01158,2.0
INN01159,11.0
INN01160,6.0
INN01161,11.0
INN01162,1.0
INN01163,1.0
INN01164,4.0
INN01165,4.0
INN01166,6.0
INN01167,1.0
INN01168,8.0
INN01169,9.0
INN01170,12.0
INN01171,2.0
INN01172,11.0
INN01173,10.0
INN01174,9.0
INN01175,5.0
INN01176,11.0
INN01177,12.0
INN01178,6.0
INN01179,9.0
INN01180,9.0
INN01181,3.0
INN01182,7.0
INN01183,4.0
INN01184,12.0
INN01185,11.0
INN01186,10.0
INN01187,6.0
INN01188,1.0
INN01189,9.0
INN01190,1.0
INN01191,8.0
INN01192,9.0
INN01193,1.0
INN01194,8.0
INN01195,6.0
INN01196,3.0
INN01197,10.0
INN01198,1.0
INN01199,7.0
INN01200,2.0
INN01201,3.0
INN01202,2.0
INN01203,10.0
INN01204,8.0
INN01205,4.0
INN01206,7.0
INN01207,9.0
INN01208,11.0
INN01209,5.0
INN01210,5.0
INN01211,4.0
INN01212,5.0
INN01213,10.0
INN01214,4.0
INN01215,9.0
INN01216,1.0
INN01217,6.0
INN01218,2.0
INN01219,11.0
INN01220,4.0
INN01221,4.0
INN01222,12.0
INN01223,11.0
INN01224,2.0
INN01225,5.0
INN01226,9.0
INN01227,6.0
INN01228,6.0
INN01229,7.0
INN01230,7.0
INN01231,6.0
INN01232,11.0
INN01233,11.0
INN01234,5.0
INN01235,2.0
INN01236,4.0
INN01237,10.0
INN01238,2.0
INN01239,8.0
INN01240,12.0
INN01241,3.0
INN01242,10.0
INN01243,10.0
INN01244,10.0
INN01245,3.0
INN01246,4.0
INN01247,12.0
INN01248,10.0
INN01249,10.0
INN01250,6.0
INN01251,9.0
INN01252,12.0
INN01253,8.0
INN01254,1.0
INN01255,1.0
INN01256,6.0
INN01257,5.0
INN01258,10.0
INN01259,1.0
INN01260,6.0
INN01261,1.0
INN01262,9.0
INN01263,8.0
INN01264,6.0
INN01265,9.0
INN01266,12.0
INN01267,11.0
INN01268,10.0
INN01269,4.0
INN01270,8.0
INN01271,7.0
INN01272,9.0
INN01273,7.0
INN01274,2.0
INN01275,4.0
INN01276,1.0
INN01277,6.0
INN01278,9.0
INN01279,11.0
INN01280,10.0
INN01281,6.0
INN01282,10.0
INN01283,8.0
INN01284,9.0
INN01285,5.0
INN01286,12.0
INN01287,4.0
INN01288,1.0
INN01289,1.0
INN01290,3.0
INN01291,12.0
INN01292,5.0
INN01293,2.0
INN01294,6.0
INN01295,8.0
INN01296,12.0
INN01297,4.0
INN01298,8.0
INN01299,11.0
INN01300,1.0
INN01301,8.0
INN01302,10.0
INN01303,6.0
INN01304,1.0
INN01305,10.0
INN01306,7.0
INN01307,4.0
INN01308,6.0
INN01309,10.0
INN01310,12.0
INN01311,7.0
INN01312,6.0
INN01313,12.0
INN01314,7.0
INN01315,3.0
INN01316,4.0
INN01317,7.0
INN01318,9.0
INN01319,3.0
INN01320,3.0
INN01321,7.0
INN01322,9.0
INN01323,8.0
INN01324,10.0
INN01325,7.0
INN01326,11.0
INN01327,8.0
INN01328,6.0
INN01329,12.0
INN01330,7.0
INN01331,6.0
INN01332,9.0
INN01333,8.0
INN01334,4.0
INN01335,9.0
INN01336,3.0
INN01337,11.0
INN01338,9.0
INN01339,11.0
INN01340,3.0
INN01341,6.0
INN01342,12.0
INN01343,6.0
INN01344,7.0
INN01345,5.0
INN01346,8.0
INN01347,8.0
INN01348,2.0
INN01349,2.0
INN01350,1.0
INN01351,3.0
INN01352,10.0
INN01353,7.0
INN01354,2.0
INN01355,2.0
INN01356,4.0
INN01357,5.0
INN01358,5.0
INN01359,12.0
INN01360,12.0
INN01361,10.0
INN01362,6.0
INN01363,11.0
INN01364,7.0
INN01365,2.0
INN01366,8.0
INN01367,1.0
INN01368,9.0
INN01369,8.0
INN01370,5.0
INN01371,5.0
INN01372,4.0
INN01373,11.0
INN01374,2.0
INN01375,3.0
INN01376,10.0
INN01377,12.0
INN01378,8.0
INN01379,4.0
INN01380,6.0
INN01381,10.0
INN01382,10.0
INN01383,9.0
INN01384,10.0
INN01385,2.0
INN01386,3.0
INN01387,6.0
INN01388,11.0
INN01389,3.0
INN01390,6.0
INN01391,1.0
INN01392,11.0
INN01393,1.0
INN01394,5.0
INN01395,7.0
INN01396,7.0
INN01397,2.0
INN01398,1.0
INN01399,3.0
INN01400,2.0
INN01401,2.0
INN01402,12.0
INN01403,10.0
INN01404,5.0
INN01405,9.0
INN01406,9.0
INN01407,3.0
INN01408,7.0
INN01409,1.0
INN01410,4.0
INN01411,9.0
INN01412,9.0
INN01413,4.0
INN01414,12.0
INN01415,1.0
INN01416,2.0
INN01417,12.0
INN01418,5.0
INN01419,11.0
INN01420,2.0
INN01421,7.0
INN01422,10.0
INN01423,9.0
INN01424,8.0
INN01425,4.0
INN01426,3.0
INN01427,12.0
INN01428,10.0
INN01429,6.0
INN01430,10.0
INN01431,10.0
INN01432,8.0
INN01433,9.0
INN01434,10.0
INN01435,3.0
INN01436,2.0
INN01437,1.0
INN01438,4.0
INN01439,8.0
INN01440,12.0
INN01441,12.0
INN01442,2.0
INN01443,2.0
INN01444,9.0
INN01445,10.0
INN01446,5.0
INN01447,5.0
INN01448,6.0
INN01449,9.0
INN01450,6.0
INN01451,4.0
INN01452,8.0
INN01453,11.0
INN01454,2.0
INN01455,10.0
INN01456,7.0
INN01457,4.0
INN01458,3.0
INN01459,4.0
INN01460,3.0
INN01461,2.0
INN01462,1.0
INN01463,7.0
INN01464,3.0
INN01465,3.0
INN01466,7.0
INN01467,10.0
INN01468,6.0
INN01469,9.0
INN01470,9.0
INN01471,9.0
INN01472,8.0
INN01473,10.0
INN01474,3.0
INN01475,1.0
INN01476,10.0
INN01477,4.0
INN01478,10.0
INN01479,9.0
INN01480,6.0
INN01481,7.0
INN01482,3.0
INN01483,11.0
INN01484,11.0
INN01485,9.0
INN01486,7.0
INN01487,12.0
INN01488,5.0
INN01489,11.0
INN01490,11.0
INN01491,8.0
INN01492,7.0
INN01493,8.0
INN01494,7.0
INN01495,5.0
INN01496,10.0
INN01497,6.0
INN01498,8.0
INN01499,5.0
INN01500,11.0
INN01501,7.0
INN01502,6.0
INN01503,9.0
INN01504,6.0
INN01505,3.0
INN01506,7.0
INN01507,6.0
INN01508,11.0
INN01509,10.0
INN01510,8.0
INN01511,5.0
INN01512,1.0
INN01513,9.0
INN01514,7.0
INN01515,4.0
INN01516,1.0
INN01517,6.0
INN01518,11.0
INN01519,5.0
INN01520,9.0
INN01521,11.0
INN01522,1.0
INN01523,8.0
INN01524,9.0
INN01525,9.0
INN01526,9.0
INN01527,2.0
INN01528,3.0
INN01529,6.0
INN01530,5.0
INN01531,4.0
INN01532,5.0
INN01533,1.0
INN01534,2.0
INN01535,6.0
INN01536,2.0
INN01537,12.0
INN01538,7.0
INN01539,9.0
INN01540,1.0
INN01541,12.0
INN01542,2.0
INN01543,9.0
INN01544,5.0
INN01545,7.0
INN01546,7.0
INN01547,7.0
INN01548,7.0
INN01549,3.0
INN01550,10.0
INN01551,2.0
INN01552,5.0
